gender,SeniorCitizen,tenure,InternetService,Contract,MonthlyCharges,TotalCharges,PaymentMethod,Churn
Female,No,1,DSL,Month-to-month,45.95,45.95,Mailed check,Yes
Female,Yes,1,Fiber optic,Month-to-month,70.15,70.15,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,85.55,85.55,Credit card (automatic),Yes
Male,No,1,Fiber optic,Month-to-month,88.35,88.35,Electronic check,Yes
Female,No,8,Fiber optic,Month-to-month,94.2,777.3,Electronic check,Yes
Female,No,5,Fiber optic,Month-to-month,96.25,512.45,Electronic check,Yes
Female,No,2,Fiber optic,Month-to-month,70.7,141.45,Electronic check,Yes
Male,No,1,DSL,Month-to-month,35.9,35.9,Electronic check,Yes
Male,Yes,2,DSL,Month-to-month,24.45,47.5,Mailed check,Yes
Female,No,8,Fiber optic,Month-to-month,103.35,847.3,Bank transfer (automatic),Yes
Male,Yes,7,Fiber optic,Month-to-month,84.8,546.95,Electronic check,Yes
Female,No,5,Fiber optic,Month-to-month,89.35,461.7,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,77.15,77.15,Electronic check,Yes
Male,No,1,DSL,Month-to-month,35.25,35.25,Bank transfer (automatic),Yes
Male,No,4,DSL,Month-to-month,48.55,201.0,Electronic check,Yes
Male,No,2,Fiber optic,Month-to-month,75.7,189.2,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,74.25,74.25,Mailed check,Yes
Male,Yes,1,Fiber optic,Month-to-month,69.5,69.5,Bank transfer (automatic),Yes
Male,No,1,No,Month-to-month,19.4,19.4,Mailed check,Yes
Female,No,9,Fiber optic,Month-to-month,83.3,803.3,Electronic check,Yes
Female,No,8,Fiber optic,Month-to-month,80.1,679.3,Bank transfer (automatic),Yes
Female,No,1,DSL,Month-to-month,54.75,54.75,Mailed check,Yes
Female,No,1,Fiber optic,Month-to-month,94.6,94.6,Electronic check,Yes
Male,Yes,3,Fiber optic,Month-to-month,76.05,231.8,Electronic check,Yes
Male,Yes,1,Fiber optic,Month-to-month,69.75,69.75,Electronic check,Yes
Male,No,7,DSL,Month-to-month,34.5,279.25,Electronic check,Yes
Male,No,10,Fiber optic,Month-to-month,70.3,738.2,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,80.2,80.2,Mailed check,Yes
Male,No,6,DSL,Month-to-month,44.6,260.8,Bank transfer (automatic),Yes
Female,No,1,No,Month-to-month,19.6,19.6,Mailed check,Yes
Male,No,2,Fiber optic,Month-to-month,70.7,140.7,Credit card (automatic),Yes
Male,Yes,7,Fiber optic,Month-to-month,99.25,665.45,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,84.8,84.8,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,90.75,90.75,Electronic check,Yes
Female,No,4,Fiber optic,Month-to-month,89.6,365.65,Mailed check,Yes
Male,No,2,DSL,Month-to-month,49.25,90.35,Electronic check,Yes
Male,No,1,No,Month-to-month,19.75,19.75,Mailed check,Yes
Female,No,4,Fiber optic,Month-to-month,70.05,266.9,Credit card (automatic),Yes
Male,No,4,Fiber optic,Month-to-month,74.65,301.4,Electronic check,Yes
Male,No,4,DSL,Month-to-month,50.4,206.6,Mailed check,Yes
Female,No,7,Fiber optic,Month-to-month,79.65,604.7,Mailed check,Yes
Male,No,5,Fiber optic,Month-to-month,78.75,412.1,Electronic check,Yes
Male,Yes,8,Fiber optic,Month-to-month,80.45,583.45,Credit card (automatic),Yes
Female,No,1,DSL,Month-to-month,50.1,50.1,Mailed check,Yes
Male,No,2,Fiber optic,Month-to-month,76.4,151.8,Electronic check,Yes
Male,No,3,Fiber optic,Month-to-month,98.7,293.65,Electronic check,Yes
Male,Yes,10,Fiber optic,Month-to-month,79.25,793.55,Electronic check,Yes
Male,No,5,Fiber optic,Month-to-month,94.85,462.8,Bank transfer (automatic),Yes
Female,No,2,Fiber optic,Month-to-month,85.7,169.8,Electronic check,Yes
Female,No,1,DSL,Month-to-month,44.4,44.4,Mailed check,Yes
Male,Yes,5,Fiber optic,Month-to-month,89.5,477.7,Electronic check,Yes
Male,Yes,1,Fiber optic,Month-to-month,86.05,86.05,Electronic check,Yes
Male,No,4,DSL,Month-to-month,44.55,174.3,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,95.65,95.65,Mailed check,Yes
Female,No,1,No,Month-to-month,20.95,20.95,Mailed check,Yes
Female,Yes,10,DSL,Month-to-month,34.7,329.8,Electronic check,Yes
Male,No,9,Fiber optic,Month-to-month,85.35,758.6,Electronic check,Yes
Female,No,4,Fiber optic,Month-to-month,98.1,396.3,Bank transfer (automatic),Yes
Female,Yes,9,Fiber optic,Month-to-month,74.55,622.9,Electronic check,Yes
Male,No,3,Fiber optic,Month-to-month,100.95,329.95,Electronic check,Yes
Male,No,10,Fiber optic,Month-to-month,94.9,1048.85,Electronic check,Yes
Male,No,3,Fiber optic,Month-to-month,88.35,262.05,Mailed check,Yes
Male,Yes,1,Fiber optic,Month-to-month,74.4,74.4,Electronic check,Yes
Male,Yes,8,Fiber optic,Month-to-month,69.7,560.85,Electronic check,Yes
Female,Yes,12,Fiber optic,Month-to-month,98.1,1060.2,Electronic check,Yes
Female,No,1,No,Month-to-month,20.5,20.5,Mailed check,Yes
Female,Yes,4,Fiber optic,Month-to-month,99.6,347.65,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,81.95,81.95,Electronic check,Yes
Male,No,7,Fiber optic,Month-to-month,69.35,451.1,Electronic check,Yes
Female,No,6,Fiber optic,Month-to-month,91.1,455.3,Electronic check,Yes
Male,No,1,DSL,Month-to-month,45.05,45.05,Mailed check,Yes
Female,Yes,1,Fiber optic,Month-to-month,71.0,71.0,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,79.7,79.7,Electronic check,Yes
Female,Yes,1,Fiber optic,Month-to-month,69.25,69.25,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,73.5,73.5,Bank transfer (automatic),Yes
Male,No,9,Fiber optic,Month-to-month,95.5,829.1,Electronic check,Yes
Male,No,11,Fiber optic,Month-to-month,74.55,824.75,Electronic check,Yes
Male,Yes,12,Fiber optic,Month-to-month,83.8,1029.75,Mailed check,Yes
Female,No,7,Fiber optic,Month-to-month,75.45,480.75,Mailed check,Yes
Male,No,7,Fiber optic,Month-to-month,93.85,635.6,Electronic check,Yes
Female,No,3,DSL,Month-to-month,31.0,95.05,Mailed check,Yes
Male,Yes,5,Fiber optic,Month-to-month,70.25,331.9,Mailed check,Yes
Male,No,10,DSL,Month-to-month,33.9,298.45,Mailed check,Yes
Male,No,12,Fiber optic,Month-to-month,84.45,1059.55,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,89.15,89.15,Mailed check,Yes
Female,No,3,DSL,Month-to-month,55.3,196.15,Electronic check,Yes
Male,No,5,DSL,Month-to-month,43.25,219.0,Mailed check,Yes
Male,No,1,Fiber optic,Month-to-month,79.55,79.55,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,84.5,84.5,Electronic check,Yes
Female,Yes,2,DSL,Month-to-month,30.4,78.65,Electronic check,Yes
Female,No,1,DSL,Month-to-month,45.4,45.4,Mailed check,Yes
Female,No,3,No,Month-to-month,19.75,58.85,Electronic check,Yes
Female,No,5,Fiber optic,Month-to-month,85.4,425.9,Credit card (automatic),Yes
Male,No,6,Fiber optic,Month-to-month,84.4,556.35,Electronic check,Yes
Female,No,6,DSL,Month-to-month,56.25,389.1,Electronic check,Yes
Female,Yes,2,Fiber optic,Month-to-month,85.55,187.45,Electronic check,Yes
Female,No,4,DSL,Month-to-month,68.65,261.25,Bank transfer (automatic),Yes
Male,No,4,Fiber optic,Month-to-month,77.85,299.2,Electronic check,Yes
Male,No,3,Fiber optic,Month-to-month,105.35,323.25,Bank transfer (automatic),Yes
Female,No,8,Fiber optic,Month-to-month,87.05,762.1,Electronic check,Yes
Male,No,1,DSL,Month-to-month,53.5,53.5,Mailed check,Yes
Female,No,1,DSL,Month-to-month,25.1,25.1,Mailed check,Yes
Female,No,5,DSL,Month-to-month,54.2,308.25,Electronic check,Yes
Female,Yes,1,No,Month-to-month,19.45,19.45,Electronic check,Yes
Female,No,1,DSL,Month-to-month,45.3,45.3,Electronic check,Yes
Male,No,2,DSL,Month-to-month,29.85,75.6,Bank transfer (automatic),Yes
Male,Yes,2,Fiber optic,Month-to-month,95.1,180.25,Credit card (automatic),Yes
Male,No,1,No,Month-to-month,19.8,19.8,Mailed check,Yes
Female,No,4,Fiber optic,Month-to-month,76.65,333.6,Bank transfer (automatic),Yes
Female,No,5,Fiber optic,Month-to-month,99.15,465.05,Mailed check,Yes
Male,No,9,DSL,Month-to-month,44.95,431.0,Mailed check,Yes
Male,Yes,3,DSL,Month-to-month,36.45,93.7,Mailed check,Yes
Female,Yes,1,DSL,Month-to-month,25.05,25.05,Mailed check,Yes
Female,No,8,DSL,Month-to-month,49.85,365.55,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,93.85,93.85,Electronic check,Yes
Female,No,1,DSL,Month-to-month,50.45,50.45,Mailed check,Yes
Female,No,7,DSL,Month-to-month,74.65,521.1,Electronic check,Yes
Female,No,12,Fiber optic,Month-to-month,94.2,1046.1,Electronic check,Yes
Male,No,1,No,Month-to-month,20.1,20.1,Mailed check,Yes
Male,No,3,DSL,Month-to-month,55.15,159.15,Mailed check,Yes
Male,Yes,10,Fiber optic,Month-to-month,86.65,856.65,Electronic check,Yes
Male,Yes,12,Fiber optic,Month-to-month,101.35,1218.55,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,81.7,81.7,Electronic check,Yes
Female,No,4,Fiber optic,Month-to-month,79.15,317.25,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,69.1,69.1,Mailed check,Yes
Female,Yes,1,Fiber optic,Month-to-month,69.6,69.6,Electronic check,Yes
Female,No,4,Fiber optic,Month-to-month,77.95,305.55,Bank transfer (automatic),Yes
Female,Yes,1,Fiber optic,Month-to-month,78.45,78.45,Electronic check,Yes
Male,No,10,DSL,Month-to-month,29.5,255.25,Mailed check,Yes
Female,No,2,DSL,Month-to-month,70.75,146.9,Electronic check,Yes
Female,Yes,9,Fiber optic,Month-to-month,84.45,762.5,Electronic check,Yes
Male,No,4,Fiber optic,Month-to-month,85.65,338.9,Electronic check,Yes
Male,No,1,DSL,Month-to-month,46.3,46.3,Mailed check,Yes
Female,No,12,Fiber optic,Month-to-month,89.4,1095.65,Electronic check,Yes
Female,Yes,5,Fiber optic,Month-to-month,83.15,446.05,Credit card (automatic),Yes
Male,No,10,Fiber optic,Month-to-month,74.15,811.8,Mailed check,Yes
Female,No,11,Fiber optic,Month-to-month,99.5,1056.95,Electronic check,Yes
Male,No,1,DSL,Month-to-month,44.15,44.15,Mailed check,Yes
Female,No,1,Fiber optic,Month-to-month,85.45,85.45,Mailed check,Yes
Female,No,4,DSL,Month-to-month,50.85,239.55,Mailed check,Yes
Female,No,1,DSL,Month-to-month,59.2,59.2,Electronic check,Yes
Female,No,1,DSL,Month-to-month,54.9,54.9,Electronic check,Yes
Female,No,11,No,Month-to-month,19.25,180.3,Mailed check,Yes
Female,Yes,2,Fiber optic,Month-to-month,75.45,158.4,Mailed check,Yes
Female,Yes,2,DSL,Month-to-month,54.85,104.2,Mailed check,Yes
Male,Yes,1,Fiber optic,Month-to-month,95.1,95.1,Electronic check,Yes
Male,No,6,Fiber optic,Month-to-month,75.5,438.0,Electronic check,Yes
Female,No,4,Fiber optic,Month-to-month,73.75,325.45,Electronic check,Yes
Male,No,12,Fiber optic,Month-to-month,96.05,1148.1,Electronic check,Yes
Female,No,4,Fiber optic,Month-to-month,88.95,355.2,Electronic check,Yes
Female,No,4,DSL,Month-to-month,50.7,151.3,Credit card (automatic),Yes
Male,No,3,DSL,Month-to-month,53.4,188.7,Credit card (automatic),Yes
Male,No,1,DSL,Month-to-month,50.6,50.6,Mailed check,Yes
Male,No,10,Fiber optic,Month-to-month,89.5,863.1,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,69.8,69.8,Electronic check,Yes
Male,No,4,DSL,Month-to-month,61.45,229.55,Credit card (automatic),Yes
Male,No,1,Fiber optic,Month-to-month,90.55,90.55,Electronic check,Yes
Male,No,7,Fiber optic,Month-to-month,85.2,602.55,Mailed check,Yes
Male,Yes,5,Fiber optic,Month-to-month,91.4,449.75,Electronic check,Yes
Female,No,4,DSL,Month-to-month,45.3,196.95,Mailed check,Yes
Male,No,2,Fiber optic,Month-to-month,73.25,131.05,Credit card (automatic),Yes
Male,No,8,DSL,Month-to-month,51.05,415.05,Electronic check,Yes
Female,No,9,Fiber optic,Month-to-month,85.35,754.65,Bank transfer (automatic),Yes
Male,Yes,1,Fiber optic,Month-to-month,75.35,75.35,Electronic check,Yes
Female,No,1,No,Month-to-month,20.9,20.9,Mailed check,Yes
Male,No,3,DSL,Month-to-month,43.3,123.65,Electronic check,Yes
Female,Yes,11,Fiber optic,Month-to-month,84.8,906.85,Credit card (automatic),Yes
Male,Yes,5,DSL,Month-to-month,50.35,237.25,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,74.6,74.6,Bank transfer (automatic),Yes
Male,No,8,DSL,Month-to-month,45.15,438.4,Mailed check,Yes
Female,No,1,Fiber optic,Month-to-month,79.6,79.6,Electronic check,Yes
Male,Yes,5,Fiber optic,Month-to-month,89.8,502.6,Electronic check,Yes
Male,No,1,DSL,Month-to-month,50.75,50.75,Electronic check,Yes
Female,No,9,DSL,Month-to-month,72.9,651.4,Mailed check,Yes
Male,No,5,DSL,Month-to-month,40.0,223.45,Mailed check,Yes
Male,Yes,9,Fiber optic,Month-to-month,99.45,919.4,Credit card (automatic),Yes
Female,No,2,Fiber optic,Month-to-month,86.25,181.65,Electronic check,Yes
Female,No,1,DSL,Month-to-month,45.65,45.65,Electronic check,Yes
Male,No,8,Fiber optic,Month-to-month,70.1,551.35,Mailed check,Yes
Female,Yes,2,Fiber optic,Month-to-month,70.2,115.95,Bank transfer (automatic),Yes
Female,No,3,DSL,Month-to-month,55.35,165.2,Electronic check,Yes
Male,No,2,DSL,Month-to-month,45.85,81.0,Mailed check,Yes
Female,No,12,Fiber optic,Month-to-month,100.15,1164.3,Bank transfer (automatic),Yes
Female,No,2,DSL,Month-to-month,24.4,36.55,Mailed check,Yes
Female,No,4,No,Month-to-month,20.95,85.5,Bank transfer (automatic),Yes
Female,Yes,1,DSL,Month-to-month,49.55,49.55,Electronic check,Yes
Male,No,9,No,Month-to-month,20.25,178.5,Mailed check,Yes
Female,Yes,2,DSL,Month-to-month,50.15,115.1,Credit card (automatic),Yes
Female,Yes,1,DSL,Month-to-month,25.25,25.25,Electronic check,Yes
Female,No,9,DSL,Month-to-month,45.15,416.45,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,75.1,75.1,Electronic check,Yes
Female,No,1,DSL,Month-to-month,45.8,45.8,Electronic check,Yes
Male,No,1,No,Month-to-month,20.1,20.1,Mailed check,Yes
Male,No,9,DSL,Month-to-month,40.65,328.95,Mailed check,Yes
Male,No,1,Fiber optic,Month-to-month,69.1,69.1,Electronic check,Yes
Female,Yes,1,Fiber optic,Month-to-month,71.15,71.15,Electronic check,Yes
Female,No,6,DSL,Month-to-month,49.15,270.8,Electronic check,Yes
Female,No,11,Fiber optic,Month-to-month,102.0,1145.35,Electronic check,Yes
Female,No,2,No,Month-to-month,20.65,38.7,Mailed check,Yes
Female,No,1,Fiber optic,Month-to-month,70.8,70.8,Mailed check,Yes
Female,No,3,Fiber optic,Month-to-month,96.6,291.9,Electronic check,Yes
Female,No,5,DSL,Month-to-month,50.6,249.95,Mailed check,Yes
Male,No,4,DSL,Month-to-month,49.35,219.65,Electronic check,Yes
Male,No,7,Fiber optic,Month-to-month,94.25,669.0,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,68.95,68.95,Electronic check,Yes
Male,Yes,2,Fiber optic,Month-to-month,93.85,196.75,Electronic check,Yes
Male,No,4,Fiber optic,Month-to-month,76.05,318.9,Electronic check,Yes
Male,No,1,DSL,Month-to-month,24.45,24.45,Mailed check,Yes
Male,No,7,Fiber optic,Month-to-month,89.35,631.85,Credit card (automatic),Yes
Male,No,4,Fiber optic,Month-to-month,80.35,307.4,Electronic check,Yes
Female,Yes,1,DSL,Month-to-month,55.8,55.8,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,79.05,79.05,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,95.0,95.0,Electronic check,Yes
Female,No,1,DSL,Month-to-month,25.2,25.2,Mailed check,Yes
Male,Yes,10,Fiber optic,Month-to-month,89.8,914.3,Electronic check,Yes
Male,Yes,1,Fiber optic,Month-to-month,71.65,71.65,Electronic check,Yes
Female,No,3,Fiber optic,Month-to-month,74.25,210.3,Electronic check,Yes
Female,Yes,1,Fiber optic,Month-to-month,74.2,74.2,Electronic check,Yes
Male,No,4,Fiber optic,Month-to-month,100.2,420.2,Electronic check,Yes
Male,Yes,1,Fiber optic,Month-to-month,70.85,70.85,Mailed check,Yes
Male,No,4,Fiber optic,Month-to-month,73.9,280.85,Electronic check,Yes
Male,No,3,Fiber optic,Month-to-month,101.55,298.35,Bank transfer (automatic),Yes
Male,No,1,DSL,Month-to-month,45.75,45.75,Electronic check,Yes
Male,No,11,Fiber optic,Month-to-month,74.95,815.5,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,80.15,80.15,Credit card (automatic),Yes
Female,No,3,DSL,Month-to-month,35.2,108.95,Credit card (automatic),Yes
Female,No,1,Fiber optic,Month-to-month,78.8,78.8,Electronic check,Yes
Male,Yes,1,Fiber optic,Month-to-month,69.1,69.1,Electronic check,Yes
Female,No,6,Fiber optic,Month-to-month,93.55,536.4,Bank transfer (automatic),Yes
Male,No,1,Fiber optic,Month-to-month,80.85,80.85,Mailed check,Yes
Male,No,3,No,Month-to-month,20.55,51.15,Credit card (automatic),Yes
Female,Yes,2,Fiber optic,Month-to-month,78.55,149.55,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,78.65,78.65,Electronic check,Yes
Male,No,1,DSL,Month-to-month,42.9,42.9,Electronic check,Yes
Female,No,3,DSL,Month-to-month,34.25,139.35,Mailed check,Yes
Female,No,9,DSL,Month-to-month,58.5,539.85,Mailed check,Yes
Female,Yes,6,Fiber optic,Month-to-month,74.4,434.1,Electronic check,Yes
Female,No,6,Fiber optic,Month-to-month,105.3,545.2,Electronic check,Yes
Female,Yes,7,Fiber optic,Month-to-month,84.55,646.85,Electronic check,Yes
Female,No,4,DSL,Month-to-month,24.45,86.6,Electronic check,Yes
Male,No,1,DSL,Month-to-month,24.25,24.25,Electronic check,Yes
Female,No,11,Fiber optic,Month-to-month,76.5,837.95,Electronic check,Yes
Female,No,4,Fiber optic,Month-to-month,93.5,362.2,Electronic check,Yes
Female,Yes,2,Fiber optic,Month-to-month,69.6,131.65,Electronic check,Yes
Male,No,1,No,Month-to-month,24.05,24.05,Mailed check,Yes
Female,No,1,DSL,Month-to-month,50.55,50.55,Electronic check,Yes
Female,No,1,No,Month-to-month,20.5,20.5,Mailed check,Yes
Male,No,4,Fiber optic,Month-to-month,74.8,321.9,Bank transfer (automatic),Yes
Female,No,3,DSL,Month-to-month,50.6,155.35,Electronic check,Yes
Female,No,2,DSL,Month-to-month,65.7,134.35,Mailed check,Yes
Female,No,1,Fiber optic,Month-to-month,70.5,70.5,Electronic check,Yes
Female,No,10,Fiber optic,Month-to-month,94.85,953.45,Electronic check,Yes
Male,No,1,No,Month-to-month,19.75,19.75,Mailed check,Yes
Female,No,1,Fiber optic,Month-to-month,69.6,69.6,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,78.05,78.05,Electronic check,Yes
Male,No,7,Fiber optic,Month-to-month,73.6,520.0,Electronic check,Yes
Female,No,9,Fiber optic,Month-to-month,74.75,706.6,Electronic check,Yes
Male,No,1,No,Month-to-month,20.2,20.2,Mailed check,Yes
Male,No,2,DSL,Month-to-month,25.05,56.35,Electronic check,Yes
Female,No,1,No,Month-to-month,20.25,20.25,Mailed check,Yes
Female,No,1,Fiber optic,Month-to-month,85.45,85.45,Electronic check,Yes
Male,No,6,Fiber optic,Month-to-month,74.9,469.8,Electronic check,Yes
Male,No,9,No,Month-to-month,18.95,185.6,Mailed check,Yes
Female,Yes,2,DSL,Month-to-month,24.35,41.85,Electronic check,Yes
Male,Yes,5,Fiber optic,Month-to-month,79.9,343.95,Bank transfer (automatic),Yes
Female,No,11,Fiber optic,Month-to-month,96.2,1222.05,Credit card (automatic),Yes
Female,No,1,Fiber optic,Month-to-month,90.6,90.6,Electronic check,Yes
Female,No,6,DSL,Month-to-month,50.8,288.05,Bank transfer (automatic),Yes
Male,No,4,Fiber optic,Month-to-month,90.05,368.1,Electronic check,Yes
Female,No,3,Fiber optic,Month-to-month,75.85,256.6,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,68.5,68.5,Electronic check,Yes
Male,No,11,Fiber optic,Month-to-month,73.5,791.75,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,69.95,69.95,Mailed check,Yes
Male,No,5,DSL,Month-to-month,70.05,346.4,Electronic check,Yes
Male,No,8,Fiber optic,Month-to-month,94.0,773.65,Electronic check,Yes
Female,No,3,No,Month-to-month,19.6,59.75,Mailed check,Yes
Male,Yes,2,DSL,Month-to-month,66.4,94.55,Bank transfer (automatic),Yes
Female,No,2,DSL,Month-to-month,49.6,114.7,Mailed check,Yes
Male,No,3,Fiber optic,Month-to-month,91.85,257.05,Electronic check,Yes
Female,No,1,DSL,Month-to-month,40.1,40.1,Electronic check,Yes
Female,No,7,DSL,Month-to-month,40.1,293.3,Credit card (automatic),Yes
Female,No,1,Fiber optic,Month-to-month,79.55,79.55,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,89.1,89.1,Electronic check,Yes
Male,Yes,2,DSL,Month-to-month,44.15,92.65,Electronic check,Yes
Female,Yes,8,Fiber optic,Month-to-month,75.75,606.25,Electronic check,Yes
Female,No,1,No,Month-to-month,19.1,19.1,Mailed check,Yes
Male,Yes,1,Fiber optic,Month-to-month,80.3,80.3,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,74.9,74.9,Electronic check,Yes
Female,Yes,9,Fiber optic,Month-to-month,80.85,751.65,Electronic check,Yes
Male,No,3,DSL,Month-to-month,24.75,66.95,Electronic check,Yes
Female,No,2,Fiber optic,Month-to-month,79.7,165.0,Bank transfer (automatic),Yes
Male,Yes,1,DSL,Month-to-month,25.1,25.1,Electronic check,Yes
Male,No,6,Fiber optic,Month-to-month,83.55,477.55,Credit card (automatic),Yes
Male,No,1,Fiber optic,Month-to-month,70.45,70.45,Mailed check,Yes
Male,No,1,DSL,Month-to-month,24.75,24.75,Electronic check,Yes
Male,No,3,Fiber optic,Month-to-month,78.5,242.05,Electronic check,Yes
Female,No,3,No,Month-to-month,19.85,63.75,Mailed check,Yes
Male,Yes,3,Fiber optic,Month-to-month,79.9,260.9,Electronic check,Yes
Male,No,10,Fiber optic,Month-to-month,98.5,1037.75,Electronic check,Yes
Female,No,1,DSL,Month-to-month,50.45,50.45,Mailed check,Yes
Female,No,1,Fiber optic,Month-to-month,100.25,100.25,Credit card (automatic),Yes
Male,No,1,Fiber optic,Month-to-month,69.85,69.85,Electronic check,Yes
Male,No,12,Fiber optic,Month-to-month,81.7,858.6,Bank transfer (automatic),Yes
Male,No,4,Fiber optic,Month-to-month,79.9,324.3,Electronic check,Yes
Female,No,1,No,Month-to-month,20.9,20.9,Mailed check,Yes
Female,No,1,Fiber optic,Month-to-month,69.4,69.4,Mailed check,Yes
Female,No,7,Fiber optic,Month-to-month,74.9,541.15,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,70.1,70.1,Electronic check,Yes
Female,No,12,Fiber optic,Month-to-month,78.3,909.25,Electronic check,Yes
Female,No,1,Fiber optic,Month-to-month,84.3,84.3,Electronic check,Yes
Female,Yes,11,Fiber optic,Month-to-month,99.55,1131.2,Electronic check,Yes
Male,Yes,8,Fiber optic,Month-to-month,81.25,585.95,Electronic check,Yes
Male,No,1,No,Month-to-month,19.95,19.95,Bank transfer (automatic),Yes
Male,No,9,Fiber optic,Month-to-month,79.35,661.25,Bank transfer (automatic),Yes
Male,No,1,Fiber optic,Month-to-month,69.35,69.35,Electronic check,Yes
Female,No,3,Fiber optic,Month-to-month,85.8,272.2,Electronic check,Yes
Female,Yes,1,DSL,Month-to-month,50.55,50.55,Mailed check,Yes
Male,No,1,Fiber optic,Month-to-month,80.55,80.55,Electronic check,Yes
Female,No,12,Fiber optic,Month-to-month,84.5,916.9,Electronic check,Yes
Male,No,2,Fiber optic,Month-to-month,67.75,116.65,Electronic check,Yes
Female,No,10,Fiber optic,Month-to-month,80.05,830.7,Bank transfer (automatic),Yes
Male,No,1,No,Month-to-month,20.0,20.0,Mailed check,Yes
Female,Yes,1,Fiber optic,Month-to-month,85.05,85.05,Electronic check,Yes
Female,No,6,Fiber optic,Month-to-month,99.95,547.65,Mailed check,Yes
Male,No,3,Fiber optic,Month-to-month,79.65,251.75,Bank transfer (automatic),Yes
Male,No,8,Fiber optic,Month-to-month,94.7,740.3,Electronic check,Yes
Male,No,5,Fiber optic,Month-to-month,92.5,452.7,Electronic check,Yes
Female,No,1,No,Month-to-month,19.45,19.45,Mailed check,Yes
Female,No,2,Fiber optic,Month-to-month,75.55,166.3,Electronic check,Yes
Male,No,1,Fiber optic,Month-to-month,70.0,70.0,Electronic check,Yes
Female,No,2,No,Month-to-month,19.5,31.55,Mailed check,Yes
Female,Yes,4,Fiber optic,Month-to-month,74.9,321.75,Electronic check,Yes
Female,No,2,Fiber optic,Month-to-month,74.9,147.15,Credit card (automatic),Yes
Male,No,10,Fiber optic,Month-to-month,99.85,990.9,Electronic check,Yes
Female,No,2,Fiber optic,Month-to-month,94.2,193.8,Bank transfer (automatic),Yes
Male,Yes,9,Fiber optic,Month-to-month,83.85,790.15,Electronic check,Yes
Female,No,1,DSL,Month-to-month,44.45,44.45,Mailed check,Yes
Male,No,1,No,Month-to-month,20.25,20.25,Mailed check,Yes
Male,No,1,Fiber optic,Month-to-month,74.35,74.35,Electronic check,Yes
Male,No,1,DSL,Month-to-month,62.05,62.05,Mailed check,Yes
Male,No,5,Fiber optic,Month-to-month,104.1,541.9,Mailed check,Yes
Male,No,2,Fiber optic,Month-to-month,76.5,162.45,Electronic check,Yes
Male,No,5,DSL,Month-to-month,49.2,216.9,Electronic check,Yes
